# IP 매핑표 초안 (개발) — 서버이관_통합정보.xlsx 자동 생성. 검토 후 사용할 것
# Replace-AsisIp.ps1 -Map 로 투입. OldIP 유일 보장, Old=New 행 없음
# 포트는 시트가 업무별로 달라 자동채움하지 않았다 (-UsePort 쓸 때 직접 채울 것)
업무코드,업무명,서버명,호스트명,OldIP,NewIP,OldPort,NewPort
CFS,고객안내자료심의 (SSO),dz-cfsystem,고객안내자료심의-WEB,10.10.88.24,10.10.86.216,,
DIM;MAH;LTC;AHP;AHV;VIE,모바일DM;모바일사고조회;장기계약변경서류전송;모바일사고조회 사진업로드;모바일사고조회 동영상업로드;웹뷰,DZ-MIDMWAS,모바일DM-WAS,10.10.88.135,10.10.91.81,,
MCE;MMX,영업용모바일고객컨텐츠및전자서명;모바일주행거리블랙박스,DEV-SMARTWAP,모바일주행거리-WAS,10.10.88.136,10.10.91.160,,
MCS;MSR;MAI;ADA;MOP;MPR;WDF,모바일CSI;모바일CSI관리자;모바일사고조사;모바일사고조사관리자;모바일포탈;모바일포탈관리자;앱위변조관리자(AAPlus),DZ-MCSIWAS,모바일CSI-WAS,10.10.88.138,10.10.91.78,,
MDB;MAR;AGW;AAD,모바일디빈스;모바일디빈스관리자;앱위변조(Appiron);앱위변조관리자,DZ-WMDBWAS,모바일디빈스-WAS,10.10.88.139,10.10.86.217,,
MCL;MCA;AGW;AAD;HFM,보상모바일;보상모바일관리자;보상모바일앱위변조;보상모바일앱위변조관리자;보상모바일전자서식,DZ-MCPSWAS,보상모바일-WAS,10.10.88.140,10.10.91.86,,
LGS;LPR;CDM;GPT;CGS,법무지원 (SSO);변호사PRM;스마트공시지원 (SSO);스마트총무지원 (SSO);위탁관리 (SSO),d1gptwb1,총무지원-WEB,10.10.88.164,10.10.91.102,,
MTP,통합푸쉬,DZ-MTPSWAS,통합푸쉬-WAS,10.10.88.170,10.10.86.229,,
LGS;LPR;RLM;CDM;GPT;CGS,법무지원 (SSO);변호사PRM;부동산임차관리 (SSO);스마트공시지원 (SSO);스마트총무지원 (SSO);위탁관리 (SSO),d1gptws1,총무지원-WAS,10.10.88.181,10.10.91.101,,
CPR;PRD,보상PRM;보상PRMRD,DZ-WPRMWEB,보상PRM-WEB,10.10.88.195,10.10.91.83,,
MCE;MMX,영업용모바일고객컨텐츠및전자서명;모바일주행거리블랙박스,DEV-SMARTWEB,모바일주행거리-WEB,10.88.23.23,10.88.22.114,,
MCS;MAI;MOP,모바일CSI;모바일사고조사;모바일포탈,DZ-MCSIWEB,모바일CSI-WEB,10.88.23.27,10.88.22.178,,
MDB;AGW,모바일디빈스;앱위변조(Appiron),DZ-WMDBWEB,모바일디빈스-WEB,10.88.23.30,10.88.22.113,,
DIM;MAH;LTC;AHP;AHV;VIE,모바일DM;모바일사고조회;장기계약변경서류전송;모바일사고조회 사진업로드;모바일사고조회 동영상업로드;웹뷰,DZ-MIDMWEB,모바일DM-WEB,10.88.23.33,10.88.22.181,,
MCL;AGW;HFM,보상모바일;보상모바일앱위변조;보상모바일전자서식,DZ-MCPSWEB,보상모바일-WEB,10.88.23.39,10.88.22.182,,
MTP,통합푸쉬,DZ-MTPSWEB,통합푸쉬-WEB,10.88.23.41,10.88.23.32,,
GPT;CGS,스마트총무지원 (SSO);위탁관리 (SSO),d1gptewb1,총무지원-WEB,10.88.23.47,10.88.22.187,,
