# IP 매핑표 초안 (운영) — 서버이관_통합정보.xlsx 자동 생성. 검토 후 사용할 것
# Replace-AsisIp.ps1 -Map 로 투입. OldIP 유일 보장, Old=New 행 없음
# 포트는 시트가 업무별로 달라 자동채움하지 않았다 (-UsePort 쓸 때 직접 채울 것)
업무코드,업무명,서버명,호스트명,OldIP,NewIP,OldPort,NewPort
,,PZ-MTPSWAS1/2,통합푸쉬-WAS,10.10.17.27,10.10.91.125,,
,,PZ-MTPSWAS1/2,통합푸쉬-WAS,10.10.17.28,10.10.91.126,,
LGS;RLM;CDM;GPT;CGS,법무지원;부동산임차관리;스마트공시지원;스마트총무지원;위탁관리,p1gptiwb1/2,총무지원-WEB,10.10.17.99,10.10.89.73,,
LGS;RLM;CDM;GPT;CGS,법무지원;부동산임차관리;스마트공시지원;스마트총무지원;위탁관리,p1gptiwb1/2,총무지원-WEB,10.10.17.100,10.10.89.74,,
CFS,고객안내자료심의,pz-wcfsws1,고객안내자료심의-WEB,10.10.18.172,10.10.91.60,,
,,PZ-MSMTWAS1/2,모바일주행거리-WAS,10.10.61.27,10.10.91.76,,
,,PZ-MSMTWAS1/2,모바일주행거리-WAS,10.10.61.28,10.10.91.77,,
CPR;PRD,보상PRM;보상PRMRD,PZ-WPRMWEB1/2,보상PRM-WEB,10.10.77.49,10.10.89.47,,
CPR;PRD,보상PRM;보상PRMRD,PZ-WPRMWEB1/2,보상PRM-WEB,10.10.77.50,10.10.89.48,,
,,PZ-MIDMWAS1/2,모바일DM-WAS,10.10.150.33,10.10.91.79,,
,,PZ-MIDMWAS1/2,모바일DM-WAS,10.10.150.34,10.10.91.80,,
MCA;AAD,보상모바일관리자;보상모바일앱위변조관리자,PZ-MCPSWAS1/2,보상모바일-WAS,10.10.150.39,10.10.91.84,,
MCA;AAD,보상모바일관리자;보상모바일앱위변조관리자,PZ-MCPSWAS1/2,보상모바일-WAS,10.10.150.40,10.10.91.85,,
,,p1gptws1/2,총무지원-WAS,10.10.150.49,10.10.91.103,,
,,p1gptws1/2,총무지원-WAS,10.10.150.50,10.10.91.104,,
MSR;ADA;MPR,모바일CSI관리자;모바일사고조사관리자;모바일포탈관리자,PZ-MCSIWAS1/2,모바일CSI-WAS,10.10.150.117,10.10.89.38,,
MSR;ADA;MPR,모바일CSI관리자;모바일사고조사관리자;모바일포탈관리자,PZ-MCSIWAS1/2,모바일CSI-WAS,10.10.150.118,10.10.89.39,,
MAR;AAD,모바일디빈스관리자;앱위변조관리자,PZ-WMDBWAS1/2,모바일디빈스-WAS,10.10.150.126,10.10.89.41,,
MAR;AAD,모바일디빈스관리자;앱위변조관리자,PZ-WMDBWAS1/2,모바일디빈스-WAS,10.10.150.127,10.10.89.42,,
MDB;AGW,모바일디빈스;앱위변조(Appiron),PZ-WMDBWEB1/2,모바일디빈스-WEB,210.124.234.111,10.88.22.153,,
MTP,통합푸쉬,PZ-MTPSWEB1/2,통합푸쉬-WEB,210.124.234.129,10.88.22.156,,
DIM;MAH;LTC;AHP;AHV;VIE,모바일DM;모바일사고조회;장기계약변경서류전송;모바일사고조회 사진업로드;모바일사고조회 동영상업로드;웹뷰,PZ-MIDMWEB1/2,모바일DM-WEB,210.124.234.137,10.88.22.179,,
DIM;MAH;LTC;AHP;AHV;VIE,모바일DM;모바일사고조회;장기계약변경서류전송;모바일사고조회 사진업로드;모바일사고조회 동영상업로드;웹뷰,PZ-MIDMWEB1/2,모바일DM-WEB,210.124.234.138,10.88.22.180,,
MCL;AGW;HFM,보상모바일;보상모바일앱위변조;보상모바일전자서식,PZ-MCPSWEB1/2,보상모바일-WEB,210.127.32.21,10.88.22.208,,
MCL;AGW;HFM,보상모바일;보상모바일앱위변조;보상모바일전자서식,PZ-MCPSWEB1/2,보상모바일-WEB,210.127.32.22,10.88.22.209,,
LPR;RLM;GPT;CGS,변호사PRM;부동산임차관리;스마트총무지원;위탁관리,p2gptewb1/2,총무지원-WEB,210.127.32.29,10.88.22.238,,
LPR;RLM;GPT;CGS,변호사PRM;부동산임차관리;스마트총무지원;위탁관리,p2gptewb1/2,총무지원-WEB,210.127.32.30,10.88.22.239,,
MCE;MMX,영업용모바일고객컨텐츠및전자서명;모바일주행거리블랙박스,SMARTWEB1/2,모바일주행거리-WEB,210.127.41.35,10.88.22.199,,
MCE;MMX,영업용모바일고객컨텐츠및전자서명;모바일주행거리블랙박스,SMARTWEB1/2,모바일주행거리-WEB,210.127.41.36,10.88.22.200,,
MCS;MAI;MOP,모바일CSI;모바일사고조사;모바일포탈,PZ-MCSIWEB1/2,모바일CSI-WEB,210.127.41.99,10.88.22.202,,
MCS;MAI;MOP,모바일CSI;모바일사고조사;모바일포탈,PZ-MCSIWEB1/2,모바일CSI-WEB,210.127.41.100,10.88.22.203,,
MDB;AGW,모바일디빈스;앱위변조(Appiron),PZ-WMDBWEB1/2,모바일디빈스-WEB,210.127.41.101,10.88.22.205,,
MDB;AGW,모바일디빈스;앱위변조(Appiron),PZ-WMDBWEB1/2,모바일디빈스-WEB,210.127.41.102,10.88.22.206,,
MTP,통합푸쉬,PZ-MTPSWEB1/2,통합푸쉬-WEB,210.127.41.117,10.88.22.133,,
MTP,통합푸쉬,PZ-MTPSWEB1/2,통합푸쉬-WEB,210.127.41.118,10.88.22.134,,
