# 서버이관 IP 인덱스 — 서버이관_통합정보.xlsx 에서 생성 (구분자 |)
# 생성일 2026-08-19 / 원본시트: 운영_통합정보, 개발_통합정보
# 대응IP = ASIS행이면 TO-BE IP, TOBE행이면 AS-IS IP
# 편집은 메모장으로. 엑셀 열기는 텍스트 마법사에서 구분자 | 지정
IP|환경|단계|종류|시스템|구분|서버명|업무코드|업무명|PORT|URL|Instance|담당|대응IP|비고
10.10.88.24|개발|ASIS|IP|고객안내자료심의|WEB|dz-cfsystem|CFS|고객안내자료심의 (SSO)|80 / 443||WDCFS11||10.10.86.216|WEB/WAS 동일 서버
10.10.88.24|개발|ASIS|IP|고객안내자료심의|WAS|dz-cfsystem|CFS|고객안내자료심의 (SSO)|10800 / 11163||WDCFS11||10.10.86.216|WEB/WAS 동일 서버
10.10.88.135|개발|ASIS|IP|모바일DM|WAS|DZ-MIDMWAS|DIM;MAH;LTC;AHP;AHV;VIE|모바일DM;모바일사고조회;장기계약변경서류전송;모바일사고조회 사진업로드;모바일사고조회 동영상업로드;웹뷰|17970 / 18333;17990 / 18353;17800 / 18163;17810 / 18173;17820 / 18183;17980 / 18343||WDDIM11;WDMAH11;WDLTC11;WDAHP11;WDAHV11;WDVIE11||10.10.91.81|솔루션
10.10.88.135|개발|ASIS|IP|비대면전자서식|WAS|DZ-MIDMWAS|NSS|비대면전자서식|9086 / 9449||WDNSS11||10.10.91.81|
10.10.88.136|개발|ASIS|IP|모바일주행거리|WAS|DEV-SMARTWAP|MCE;MMX|영업용모바일고객컨텐츠및전자서명;모바일주행거리블랙박스|||||10.10.91.160|TO-BE PORT/Instance 미기재
10.10.88.138|개발|ASIS|IP|모바일CSI|WAS|DZ-MCSIWAS|MCS;MSR;MAI;ADA;MOP;MPR;WDF|모바일CSI;모바일CSI관리자;모바일사고조사;모바일사고조사관리자;모바일포탈;모바일포탈관리자;앱위변조관리자(AAPlus)|9080 / 9443;10810 / 11173;10850 / 11213;10860 / 11223;10830 / 11193;10840 / 11203;9082 / 9445||WDMCS11;WDMSR11;WDMAI11;WDADA11;WDMOP11;WDMPR11;WDWDF11||10.10.91.78|Windows;Windows 취소선(폐기)
10.10.88.138|개발|ASIS|IP|모바일CSI|WEB|DZ-MCSIWAS|MSR;ADA;MPR|모바일CSI관리자;모바일사고조사관리자;모바일포탈관리자|8000 / 8363;85 / 448;8100 / 8463||WDMSR11;WDADA11;WDMPR11||10.10.91.78|Windows
10.10.88.139|개발|ASIS|IP|모바일디빈스|WAS|DZ-WMDBWAS|MDB;MAR;AGW;AAD|모바일디빈스;모바일디빈스관리자;앱위변조(Appiron);앱위변조관리자|10800 / 11163;10810 / 11173;10820 / 11183;10830 / 11193||WDMDB11;WDMAR11;WDAGW11;WDAAD11||10.10.86.217|솔루션
10.10.88.139|개발|ASIS|IP|모바일디빈스|WEB|DZ-WMDBWAS|MAR;AAD|모바일디빈스관리자;앱위변조관리자|8100 / 8463;8300 / 8663||WDMAR11;WDAAD11||10.10.86.217|솔루션
10.10.88.140|개발|ASIS|IP|보상모바일|WAS|DZ-MCPSWAS|MCL;MCA;AGW;AAD;HFM|보상모바일;보상모바일관리자;보상모바일앱위변조;보상모바일앱위변조관리자;보상모바일전자서식|10800 / 11163;10820 / 11183;10830 / 11193;10840 / 11203;10810 / 11173||WDMCL11;WDMCA11;WDAWG11;WDAAD11;WDHFM11||10.10.91.86|솔루션
